epoch,accuracy,loss,val_accuracy,val_loss
0,0.8946075439453125,0.06853906065225601,0.9011216163635254,0.05295833572745323
1,0.9015593528747559,0.050563499331474304,0.9067298769950867,0.03928575664758682
2,0.9068613052368164,0.03957516700029373,0.8519650101661682,0.05689054727554321
3,0.924353837966919,0.031551335006952286,0.9392784237861633,0.027584826573729515
4,0.9392000436782837,0.02425803430378437,0.9558191299438477,0.017992915585637093
5,0.939102292060852,0.026022041216492653,0.958291232585907,0.018127527087926865
6,0.9493743777275085,0.020368171855807304,0.9647369384765625,0.014767460525035858
7,0.9452816247940063,0.01992799900472164,0.956943929195404,0.018967123702168465
8,0.963397204875946,0.01274231355637312,0.9661377668380737,0.014383790083229542
9,0.9608559012413025,0.014258626848459244,0.9629961848258972,0.01471346989274025
10,0.9695894122123718,0.01013673935085535,0.9718070030212402,0.012721989303827286
11,0.9723542928695679,0.008924271911382675,0.9733473062515259,0.012667303904891014
12,0.9741532802581787,0.008149204775691032,0.9752744436264038,0.011439584195613861
13,0.9718512892723083,0.009423593059182167,0.9727148413658142,0.012712225317955017
14,0.970565915107727,0.010612721554934978,0.9725210070610046,0.011517257429659367
15,0.9749729037284851,0.007694533094763756,0.9759447574615479,0.01034590695053339
16,0.9769442677497864,0.00653690192848444,0.9765895009040833,0.009667391888797283
17,0.9776498079299927,0.006203074473887682,0.9734876155853271,0.011280299164354801
18,0.9770877957344055,0.006473923567682505,0.9782835841178894,0.00837868731468916
19,0.9777731895446777,0.005975582171231508,0.9790405631065369,0.008127138018608093
20,0.9790370464324951,0.00549046415835619,0.980298638343811,0.008161167614161968
21,0.9794220924377441,0.005368498153984547,0.9801374673843384,0.00912927184253931
22,0.9530544281005859,0.017718428745865822,0.9661654829978943,0.012669388204813004
23,0.9735895395278931,0.0079407449811697,0.9762639999389648,0.008816147223114967
24,0.9779155850410461,0.006415155250579119,0.9782974123954773,0.008459885604679585
25,0.9792222380638123,0.005502139683812857,0.9793331027030945,0.007711134385317564
26,0.9800220727920532,0.005087571684271097,0.9798173308372498,0.008127043955028057
27,0.9804001450538635,0.004888228606432676,0.9812118411064148,0.00750755937770009
28,0.9722896814346313,0.01020825281739235,0.9493599534034729,0.02280106209218502
29,0.9721952676773071,0.007878321222960949,0.9796221256256104,0.00784376822412014
30,0.9790452122688293,0.005627576261758804,0.979553759098053,0.008241480216383934
31,0.9802839756011963,0.00489072548225522,0.980599045753479,0.007539339363574982
32,0.9804873466491699,0.00486744986847043,0.9804428219795227,0.00808996893465519
33,0.9810277819633484,0.00458102161064744,0.9805822372436523,0.007765310350805521
34,0.9812983274459839,0.004490533843636513,0.9807679653167725,0.007635870948433876
35,0.9801480770111084,0.005057536065578461,0.980298638343811,0.009014777839183807
36,0.9812389016151428,0.004542223177850246,0.9816726446151733,0.007959721609950066
37,0.9814292192459106,0.004493913613259792,0.9822982549667358,0.007649984676390886
38,0.981153130531311,0.004688306245952845,0.9816656112670898,0.007700835354626179
39,0.9574464559555054,0.020363492891192436,0.9761812090873718,0.009536868892610073
40,0.9780084490776062,0.006679669488221407,0.9807679653167725,0.007790765725076199
41,0.9803562760353088,0.005628109909594059,0.9821231961250305,0.00731464009732008
42,0.9813823699951172,0.004675084725022316,0.9815744161605835,0.007943018339574337
43,0.9806801676750183,0.0047993469052016735,0.9811480045318604,0.007681593298912048
44,0.9819170236587524,0.004292605444788933,0.981536328792572,0.008091538213193417
45,0.981951117515564,0.004184311721473932,0.9822443723678589,0.007831940427422523
46,0.9819257855415344,0.004282782319933176,0.980272650718689,0.008467234671115875
47,0.9694128632545471,0.012337865307927132,0.9799573421478271,0.0077200839295983315
48,0.9803783297538757,0.005061108618974686,0.9803833365440369,0.008026114664971828
49,0.9812256097793579,0.004545271396636963,0.9825193881988525,0.007431498263031244
